Total Topk Error Scores,Ground Values,,,,,
0.626933842,1,,,,,
,,,,,,
0.663236557,0,,,,,
,,,,,,
1.027148209,0,,,,,
,,,,,,
1.002030723,0,,,,,
,,,,,,
0.815799152,0,,,,,
,,,,,,
0.528696241,0,,,,,
,,,,,,
0.137755445,0,,,,,
,,,,,,
-0.160628154,0,,,,,
,,,,,,
-0.217629759,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.066086251,0,,,,,
,,,,,,
0.427430586,0,,,,,
,,,,,,
0.569474128,1,,,,,
,,,,,,
0.919206565,1,,,,,
,,,,,,
1.247829833,1,,,,,
,,,,,,
1.798184418,0,,,,,
,,,,,,
2.276366535,1,,,,,
,,,,,,
2.642196586,0,,,,,
,,,,,,
2.41092265,1,,,,,
,,,,,,
1.632959894,0,,,,,
,,,,,,
1.079103975,0,,,,,
,,,,,,
0.557893384,0,,,,,
,,,,,,
0.428567069,0,,,,,
,,,,,,
0.101614154,0,,,,,
,,,,,,
-0.098122245,1,,,,,
,,,,,,
-0.03071567,0,,,,,
,,,,,,
0.107902818,0,,,,,
,,,,,,
0.318188686,0,,,,,
,,,,,,
0.394502746,0,,,,,
,,,,,,
0.117505939,0,,,,,
,,,,,,
-0.059371649,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.074896057,0,,,,,
,,,,,,
0.199947985,0,,,,,
,,,,,,
0.374372946,0,,,,,
,,,,,,
0.42701706,0,,,,,
,,,,,,
0.277943658,0,,,,,
,,,,,,
0.003099616,0,,,,,
,,,,,,
-0.171325345,0,,,,,
,,,,,,
-0.223969459,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.01834794,0,,,,,
,,,,,,
0.332901955,1,,,,,
,,,,,,
1.08171379,0,,,,,
,,,,,,
1.671029481,0,,,,,
,,,,,,
1.707908173,1,,,,,
,,,,,,
1.695050884,0,,,,,
,,,,,,
1.160873313,1,,,,,
,,,,,,
1.188230114,0,,,,,
,,,,,,
0.902984738,0,,,,,
,,,,,,
1.021137755,0,,,,,
,,,,,,
0.987095552,1,,,,,
,,,,,,
0.779679934,0,,,,,
,,,,,,
0.791540803,1,,,,,
,,,,,,
0.754558863,1,,,,,
,,,,,,
1.350062763,0,,,,,
,,,,,,
1.597093659,1,,,,,
,,,,,,
2.024961335,1,,,,,
,,,,,,
1.957566407,0,,,,,
,,,,,,
2.008450898,0,,,,,
,,,,,,
1.509119688,0,,,,,
,,,,,,
0.996001562,0,,,,,
,,,,,,
0.503957146,0,,,,,
,,,,,,
-0.065140719,0,,,,,
,,,,,,
-0.214371352,1,,,,,
,,,,,,
0.079196447,0,,,,,
,,,,,,
0.463874635,0,,,,,
,,,,,,
0.738275651,0,,,,,
,,,,,,
0.811117427,0,,,,,
,,,,,,
0.573452852,1,,,,,
,,,,,,
0.413245072,1,,,,,
,,,,,,
0.633280787,1,,,,,
,,,,,,
1.222554625,1,,,,,
,,,,,,
1.467249188,1,,,,,
,,,,,,
1.267952774,0,,,,,
,,,,,,
1.502028599,1,,,,,
,,,,,,
1.679291649,0,,,,,
,,,,,,
1.527627165,0,,,,,
,,,,,,
0.977681512,0,,,,,
,,,,,,
0.823409975,1,,,,,
,,,,,,
0.450562099,1,,,,,
,,,,,,
0.279400815,0,,,,,
,,,,,,
0.98378461,0,,,,,
,,,,,,
1.247909788,0,,,,,
,,,,,,
1.512464557,0,,,,,
,,,,,,
1.062645332,0,,,,,
,,,,,,
0.298612296,0,,,,,
,,,,,,
0.027515001,0,,,,,
,,,,,,
-0.236875628,1,,,,,
,,,,,,
-0.131319719,0,,,,,
,,,,,,
0.066182273,0,,,,,
,,,,,,
0.190609665,0,,,,,
,,,,,,
0.230559047,1,,,,,
,,,,,,
0.317958303,1,,,,,
,,,,,,
0.444030979,1,,,,,
,,,,,,
0.815173646,0,,,,,
,,,,,,
0.946409458,0,,,,,
,,,,,,
0.728421436,0,,,,,
,,,,,,
0.542796972,1,,,,,
,,,,,,
0.45200681,0,,,,,
,,,,,,
0.50465244,0,,,,,
,,,,,,
0.732430583,0,,,,,
,,,,,,
0.784758248,1,,,,,
,,,,,,
0.862689567,1,,,,,
,,,,,,
0.654500556,0,,,,,
,,,,,,
0.862717638,0,,,,,
,,,,,,
0.887015281,1,,,,,
,,,,,,
1.031655666,0,,,,,
,,,,,,
0.857410833,1,,,,,
,,,,,,
0.497429612,1,,,,,
,,,,,,
0.5897906,0,,,,,
,,,,,,
0.549322235,0,,,,,
,,,,,,
0.446132115,0,,,,,
,,,,,,
0.324483609,0,,,,,
,,,,,,
0.040400529,0,,,,,
,,,,,,
-0.144702795,0,,,,,
,,,,,,
-0.230375726,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.24121465,0,,,,,
,,,,,,
-0.077491654,0,,,,,
,,,,,,
-0.011204321,0,,,,,
,,,,,,
-0.104631717,0,,,,,
,,,,,,
-0.224114613,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.103123435,0,,,,,
,,,,,,
0.133166913,0,,,,,
,,,,,,
0.282575938,0,,,,,
,,,,,,
0.329095164,0,,,,,
,,,,,,
0.201842865,0,,,,,
,,,,,,
-0.034447483,0,,,,,
,,,,,,
-0.183856509,0,,,,,
,,,,,,
-0.230375734,1,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.24896146,1,,,,,
,,,,,,
0.369240375,0,,,,,
,,,,,,
0.492031457,0,,,,,
,,,,,,
0.730867915,0,,,,,
,,,,,,
0.7176013,0,,,,,
,,,,,,
0.14580235,1,,,,,
,,,,,,
0.30208718,1,,,,,
,,,,,,
0.810404144,0,,,,,
,,,,,,
1.512780454,0,,,,,
,,,,,,
1.726133998,0,,,,,
,,,,,,
1.568410669,1,,,,,
,,,,,,
1.022967937,0,,,,,
,,,,,,
0.386153213,0,,,,,
,,,,,,
0.239328731,0,,,,,
,,,,,,
0.213549023,0,,,,,
,,,,,,
0.124323194,0,,,,,
,,,,,,
-0.072864321,0,,,,,
,,,,,,
-0.197095376,1,,,,,
,,,,,,
-0.205323335,1,,,,,
,,,,,,
0.29063606,1,,,,,
,,,,,,
1.075765459,0,,,,,
,,,,,,
1.572799057,0,,,,,
,,,,,,
1.473613835,1,,,,,
,,,,,,
1.281410983,0,,,,,
,,,,,,
1.037501987,0,,,,,
,,,,,,
0.657588099,0,,,,,
,,,,,,
0.41777058,1,,,,,
,,,,,,
0.284355109,0,,,,,
,,,,,,
0.199722727,1,,,,,
,,,,,,
0.146056083,0,,,,,
,,,,,,
0.134345665,0,,,,,
,,,,,,
0.274202329,0,,,,,
,,,,,,
0.317640521,0,,,,,
,,,,,,
0.187051051,0,,,,,
,,,,,,
-0.034141185,1,,,,,
,,,,,,
-0.15131981,0,,,,,
,,,,,,
-0.020146574,1,,,,,
,,,,,,
0.251892099,0,,,,,
,,,,,,
0.346567478,1,,,,,
,,,,,,
0.579302558,0,,,,,
,,,,,,
0.79208114,1,,,,,
,,,,,,
1.210229743,1,,,,,
,,,,,,
1.357779253,0,,,,,
,,,,,,
1.001051765,0,,,,,
,,,,,,
0.998713475,1,,,,,
,,,,,,
0.472141778,0,,,,,
,,,,,,
0.249319675,1,,,,,
,,,,,,
0.550449174,0,,,,,
,,,,,,
0.612794971,0,,,,,
,,,,,,
0.532201066,0,,,,,
,,,,,,
0.441033798,0,,,,,
,,,,,,
0.044866994,0,,,,,
,,,,,,
-0.181201798,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.268658742,1,,,,,
,,,,,,
0.143823029,0,,,,,
,,,,,,
0.838897848,1,,,,,
,,,,,,
1.257372275,1,,,,,
,,,,,,
1.617313558,0,,,,,
,,,,,,
1.696049485,0,,,,,
,,,,,,
1.144675873,1,,,,,
,,,,,,
0.956497961,0,,,,,
,,,,,,
0.812881223,0,,,,,
,,,,,,
0.754269073,0,,,,,
,,,,,,
0.759142832,1,,,,,
,,,,,,
0.86006908,0,,,,,
,,,,,,
0.891763228,1,,,,,
,,,,,,
0.926707094,0,,,,,
,,,,,,
1.379198246,1,,,,,
,,,,,,
2.074588593,0,,,,,
,,,,,,
2.219359666,0,,,,,
,,,,,,
1.700525987,1,,,,,
,,,,,,
1.276661451,1,,,,,
,,,,,,
0.645518817,1,,,,,
,,,,,,
1.005405025,1,,,,,
,,,,,,
1.429552596,0,,,,,
,,,,,,
1.79034572,0,,,,,
,,,,,,
1.897918551,0,,,,,
,,,,,,
1.310389045,0,,,,,
,,,,,,
0.672549002,1,,,,,
,,,,,,
0.218921684,0,,,,,
,,,,,,
0.191410562,0,,,,,
,,,,,,
0.190609665,0,,,,,
,,,,,,
0.230559047,0,,,,,
,,,,,,
0.124957916,1,,,,,
,,,,,,
0.095869708,0,,,,,
,,,,,,
0.20735584,1,,,,,
,,,,,,
0.548985125,0,,,,,
,,,,,,
0.74411521,0,,,,,
,,,,,,
0.879730584,0,,,,,
,,,,,,
0.847427986,0,,,,,
,,,,,,
0.452229524,0,,,,,
,,,,,,
0.135114312,0,,,,,
,,,,,,
-0.1481658,0,,,,,
,,,,,,
-0.211667942,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.24896146,1,,,,,
,,,,,,
0.369240375,1,,,,,
,,,,,,
0.699835323,0,,,,,
,,,,,,
1.187621243,0,,,,,
,,,,,,
1.269575464,0,,,,,
,,,,,,
0.95157076,0,,,,,
,,,,,,
0.649966958,1,,,,,
,,,,,,
0.284743936,1,,,,,
,,,,,,
0.507806626,1,,,,,
,,,,,,
1.245346616,1,,,,,
,,,,,,
1.444511335,0,,,,,
,,,,,,
1.528963596,1,,,,,
,,,,,,
1.531395091,0,,,,,
,,,,,,
1.061036046,0,,,,,
,,,,,,
0.666986304,0,,,,,
,,,,,,
0.370322819,0,,,,,
,,,,,,
0.155652866,0,,,,,
,,,,,,
-0.017396452,0,,,,,
,,,,,,
-0.196971455,1,,,,,
,,,,,,
-0.065579608,1,,,,,
,,,,,,
0.592706443,0,,,,,
,,,,,,
1.172908921,0,,,,,
,,,,,,
1.250074142,1,,,,,
,,,,,,
1.085837176,1,,,,,
,,,,,,
1.072102955,0,,,,,
,,,,,,
0.879747996,1,,,,,
,,,,,,
0.889236854,0,,,,,
,,,,,,
0.812371217,0,,,,,
,,,,,,
0.475916795,0,,,,,
,,,,,,
0.391041224,1,,,,,
,,,,,,
0.22501443,0,,,,,
,,,,,,
0.131801057,1,,,,,
,,,,,,
0.32912985,1,,,,,
,,,,,,
0.684653694,0,,,,,
,,,,,,
0.950867664,0,,,,,
,,,,,,
0.979143928,0,,,,,
,,,,,,
0.742747559,1,,,,,
,,,,,,
0.615871372,0,,,,,
,,,,,,
0.554994374,1,,,,,
,,,,,,
0.768733656,0,,,,,
,,,,,,
1.059821582,0,,,,,
,,,,,,
0.903374184,0,,,,,
,,,,,,
0.655542152,0,,,,,
,,,,,,
0.353825597,0,,,,,
,,,,,,
0.045544505,0,,,,,
,,,,,,
-0.18373887,1,,,,,
,,,,,,
0.010417852,1,,,,,
,,,,,,
0.631181495,0,,,,,
,,,,,,
1.171299484,0,,,,,
,,,,,,
1.245915782,1,,,,,
,,,,,,
0.924005182,0,,,,,
,,,,,,
0.778300621,0,,,,,
,,,,,,
0.703622859,1,,,,,
,,,,,,
0.716935003,1,,,,,
,,,,,,
0.621913665,0,,,,,
,,,,,,
0.989025318,0,,,,,
,,,,,,
0.964142589,0,,,,,
,,,,,,
0.846010234,0,,,,,
,,,,,,
0.565712995,1,,,,,
,,,,,,
0.176658199,0,,,,,
,,,,,,
0.160904708,1,,,,,
,,,,,,
0.136612259,1,,,,,
,,,,,,
0.619077,0,,,,,
,,,,,,
1.24028888,1,,,,,
,,,,,,
1.859255002,1,,,,,
,,,,,,
2.189109745,0,,,,,
,,,,,,
2.080914654,1,,,,,
,,,,,,
1.869792187,1,,,,,
,,,,,,
1.607244415,1,,,,,
,,,,,,
1.426213266,1,,,,,
,,,,,,
1.384033782,0,,,,,
,,,,,,
1.434427512,1,,,,,
,,,,,,
1.566652665,0,,,,,
,,,,,,
1.520850493,0,,,,,
,,,,,,
1.258766336,0,,,,,
,,,,,,
0.879647938,0,,,,,
,,,,,,
0.4336334,1,,,,,
,,,,,,
0.07778933,0,,,,,
,,,,,,
0.376533981,1,,,,,
,,,,,,
1.623344894,0,,,,,
,,,,,,
2.211637624,0,,,,,
,,,,,,
2.232314734,1,,,,,
,,,,,,
1.919419306,0,,,,,
,,,,,,
0.956755173,0,,,,,
,,,,,,
0.510806801,0,,,,,
,,,,,,
0.286714521,1,,,,,
,,,,,,
0.243680869,0,,,,,
,,,,,,
0.28163868,1,,,,,
,,,,,,
0.33537921,0,,,,,
,,,,,,
0.352291374,0,,,,,
,,,,,,
0.183763724,1,,,,,
,,,,,,
0.169361877,0,,,,,
,,,,,,
0.210051348,1,,,,,
,,,,,,
0.256204397,1,,,,,
,,,,,,
0.47367299,0,,,,,
,,,,,,
0.61998131,0,,,,,
,,,,,,
0.954856231,0,,,,,
,,,,,,
0.987628536,1,,,,,
,,,,,,
0.92950844,1,,,,,
,,,,,,
1.050606114,0,,,,,
,,,,,,
1.28378004,0,,,,,
,,,,,,
1.331725226,0,,,,,
,,,,,,
1.361905806,1,,,,,
,,,,,,
0.954089569,1,,,,,
,,,,,,
0.601205611,0,,,,,
,,,,,,
0.69785322,0,,,,,
,,,,,,
0.663800389,0,,,,,
,,,,,,
0.51046249,1,,,,,
,,,,,,
0.548778804,0,,,,,
,,,,,,
0.739212436,0,,,,,
,,,,,,
0.8646372,0,,,,,
,,,,,,
0.891091442,0,,,,,
,,,,,,
0.57482264,0,,,,,
,,,,,,
0.153863995,1,,,,,
,,,,,,
0.504653718,0,,,,,
,,,,,,
1.238700544,0,,,,,
,,,,,,
1.714063981,0,,,,,
,,,,,,
1.870848038,0,,,,,
,,,,,,
1.397439955,1,,,,,
,,,,,,
0.815585615,0,,,,,
,,,,,,
0.581290984,1,,,,,
,,,,,,
0.683208906,0,,,,,
,,,,,,
0.849215786,0,,,,,
,,,,,,
0.73152047,0,,,,,
,,,,,,
0.583046879,0,,,,,
,,,,,,
0.310088502,0,,,,,
,,,,,,
0.06240069,0,,,,,
,,,,,,
-0.171325337,0,,,,,
,,,,,,
-0.223969451,1,,,,,
,,,,,,
-0.063255414,0,,,,,
,,,,,,
0.162867073,0,,,,,
,,,,,,
0.403562672,0,,,,,
,,,,,,
0.485281377,0,,,,,
,,,,,,
0.183763693,1,,,,,
,,,,,,
0.22215738,0,,,,,
,,,,,,
0.265670098,1,,,,,
,,,,,,
0.719132002,0,,,,,
,,,,,,
0.950033088,0,,,,,
,,,,,,
0.894210122,0,,,,,
,,,,,,
0.741240072,0,,,,,
,,,,,,
0.506615029,0,,,,,
,,,,,,
0.127390476,1,,,,,
,,,,,,
0.094092566,0,,,,,
,,,,,,
0.387004526,0,,,,,
,,,,,,
0.557462352,0,,,,,
,,,,,,
0.621076923,0,,,,,
,,,,,,
0.427856201,0,,,,,
,,,,,,
0.076606338,0,,,,,
,,,,,,
-0.147954091,1,,,,,
,,,,,,
-0.167181031,0,,,,,
,,,,,,
-0.014330815,0,,,,,
,,,,,,
0.14580933,0,,,,,
,,,,,,
0.208491532,1,,,,,
,,,,,,
0.001959368,0,,,,,
,,,,,,
-0.156021906,0,,,,,
,,,,,,
-0.010747873,1,,,,,
,,,,,,
0.059321392,1,,,,,
,,,,,,
0.278153886,1,,,,,
,,,,,,
1.011505405,0,,,,,
,,,,,,
1.276382124,0,,,,,
,,,,,,
1.104543535,0,,,,,
,,,,,,
0.949380057,0,,,,,
,,,,,,
0.515631618,0,,,,,
,,,,,,
0.112505601,1,,,,,
,,,,,,
0.133610595,0,,,,,
,,,,,,
0.459211689,1,,,,,
,,,,,,
0.894846145,0,,,,,
,,,,,,
1.149959271,0,,,,,
,,,,,,
1.073006958,0,,,,,
,,,,,,
0.796545846,0,,,,,
,,,,,,
0.538856439,1,,,,,
,,,,,,
0.165496686,0,,,,,
,,,,,,
0.0723172,0,,,,,
,,,,,,
0.150407621,0,,,,,
,,,,,,
0.208491532,0,,,,,
,,,,,,
0.001959385,1,,,,,
,,,,,,
-0.156021875,0,,,,,
,,,,,,
-0.208857551,1,,,,,
,,,,,,
0.450429181,1,,,,,
,,,,,,
0.786597616,0,,,,,
,,,,,,
1.206203689,1,,,,,
,,,,,,
1.884719517,1,,,,,
,,,,,,
1.690121614,1,,,,,
,,,,,,
2.045948772,1,,,,,
,,,,,,
1.857529342,0,,,,,
,,,,,,
1.637526843,0,,,,,
,,,,,,
1.711610012,0,,,,,
,,,,,,
1.237555054,1,,,,,
,,,,,,
0.854176555,0,,,,,
,,,,,,
0.471390156,0,,,,,
,,,,,,
0.603902155,0,,,,,
,,,,,,
0.619648449,1,,,,,
,,,,,,
0.426728111,1,,,,,
,,,,,,
0.276617132,1,,,,,
,,,,,,
0.672751059,0,,,,,
,,,,,,
0.917387027,1,,,,,
,,,,,,
1.751328841,0,,,,,
,,,,,,
2.192051092,0,,,,,
,,,,,,
1.839931878,1,,,,,
,,,,,,
1.88362908,1,,,,,
,,,,,,
1.298541525,1,,,,,
,,,,,,
1.573802556,0,,,,,
,,,,,,
1.326509493,0,,,,,
,,,,,,
1.346317853,1,,,,,
,,,,,,
1.41481128,1,,,,,
,,,,,,
1.025006704,0,,,,,
,,,,,,
1.720794744,1,,,,,
,,,,,,
1.813798053,0,,,,,
,,,,,,
1.611069625,0,,,,,
,,,,,,
1.664794356,0,,,,,
,,,,,,
1.266279189,1,,,,,
,,,,,,
1.00643771,1,,,,,
,,,,,,
0.708001455,0,,,,,
,,,,,,
0.8509871,0,,,,,
,,,,,,
0.924797654,0,,,,,
,,,,,,
0.948460011,0,,,,,
,,,,,,
0.623283197,0,,,,,
,,,,,,
0.020217351,0,,,,,
,,,,,,
-0.183248199,1,,,,,
,,,,,,
0.051010372,0,,,,,
,,,,,,
0.398007704,0,,,,,
,,,,,,
0.647294272,0,,,,,
,,,,,,
0.715660272,0,,,,,
,,,,,,
0.500450265,0,,,,,
,,,,,,
0.111971246,0,,,,,
,,,,,,
-0.137315322,0,,,,,
,,,,,,
-0.205681321,0,,,,,
,,,,,,
-0.27180347,1,,,,,
,,,,,,
-0.27180347,0,,,,,
,,,,,,
-0.086743581,0,,,,,
,,,,,,
0.186864527,0,,,,,
,,,,,,
0.277587192,0,,,,,
,,,,,,
0.117653903,1,,,,,
,,,,,,
0.09345057,0,,,,,
,,,,,,
0.248980956,0,,,,,
,,,,,,
0.44870824,0,,,,,
,,,,,,
0.50151683,0,,,,,
,,,,,,
0.324994363,0,,,,,
,,,,,,
